dciPOW-Itrip1_HVNK0001,SUDUANBAOHU,dciPOW-Itrip1,dciPOW-Itrip1
dciPOW-CurProt1_HVNK0001,GUOLIUBAOHU,dciPOW-CurProt1,dciPOW-CurProt1
dciPOW-IoProtI1_HVNK0001,LINGXUIDUANBAOHU,dciPOW-IoProtI1,dciPOW-IoProtI1
dciPOW-Ovrload1_HVNK0001,GUOFUHEBAOJING,dciPOW-Ovrload1,dciPOW-Ovrload1
dciPOW-TripCurC_HVNK0001,TIAOZHAHUILUJIANSHI,dciPOW-TripCurC,dciPOW-TripCurC
dciPOW-SwtPosOpn_HVNK0001,DUANLUQIWEIZHI,dciPOW-SwtPosOpn,dciPOW-SwtPosOpn
dciPOW-DrwPos_HVNK0001,SHOUCHEWEIZHI,dciPOW-DrwPos,dciPOW-DrwPos
dciPOW-GCBSta_HVNK0001,JIEDIDAOHEWEI,dciPOW-GCBSta,dciPOW-GCBSta
dciPOW-RBECtrl_HVNK0001,KONGZHIFANGSHI,dciPOW-RBECtrl,dciPOW-RBECtrl
dciPOW-SwtSprg1_HVNK0001,DANHUANGWEICHUNENG,dciPOW-SwtSprg1,dciPOW-SwtSprg1
dciPOW-MCBJmpAla_HVNK0001,MCBTIAOZHAZONGGAOJING,dciPOW-MCBJmpAla,dciPOW-MCBJmpAla
dciPOW-NkbOvrTTrip_HVNK0001,NENGKUIBIANYAQINKBCHAOWENTIAOZHA,dciPOW-NkbOvrTTrip,dciPOW-NkbOvrTTrip
dciPOW-Nkbdoor_HVNK0001,NENGKUIBIANYAQINKBMENZHUANGTAI,dciPOW-Nkbdoor,dciPOW-Nkbdoor
dciPOW-CSwtOpn_HVNK0001,NIBIANGUINADIYADUANLUQIFENZHA,dciPOW-CSwtOpn,dciPOW-CSwtOpn
dciPOW-K80Trp_HVNK0001,NIBIANGUIK80GUZHANG,dciPOW-K80Trp,dciPOW-K80Trp
dciPOW-K80door_HVNK0001,NIBIANGUIK80MENZHUANGTAI,dciPOW-K80door,dciPOW-K80door
dciPOW-BraFrm_HVNK0001,NENGKUIZHUANGZHIKUANGJIABAOHU,dciPOW-BraFrm,dciPOW-BraFrm
dciPOW-DCFrm_HVNK0001,DC750VKUANGJIABAOHU,dciPOW-DCFrm,dciPOW-DCFrm
dciPOW-OverCurTrp_HVNK0001,80KAIGUANGUOLIUHUODADIANLIUTUOKOUBAOHULIANTIAO,dciPOW-OverCurTrp,dciPOW-OverCurTrp
dciPOW-CtrlScrn_HVNK0001,Control Screen,dciPOW-CtrlScrn,dciPOW-CtrlScrn
dciPOW-Maintain_HVNK0001,Maintain,dciPOW-Maintain,dciPOW-Maintain
dciPOW-Forbid_HVNK0001,Forbid,dciPOW-Forbid,dciPOW-Forbid
dciPOW-Ground_HVNK0001,Ground,dciPOW-Ground,dciPOW-Ground
dciPOW-PowIscs_HVNK0001,PSCADA to ISCS,dciPOW-PowIscs,dciPOW-PowIscs
dciPOW-RightPos_HVNK0001,Right Pos,dciPOW-RightPos,dciPOW-RightPos
dciPOW-ComSta_HVNK0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-EquSta1_NKNB0001,SHEBEIYUNXINGZHUANGTAI,dciPOW-EquSta1,dciPOW-EquSta1
dciPOW-EquSta2_NKNB0001,SHEBEIYUNXINGZHUANGTAI,dciPOW-EquSta2,dciPOW-EquSta2
dciPOW-EquSta3_NKNB0001,SHEBEIYUNXINGZHUANGTAI,dciPOW-EquSta3,dciPOW-EquSta3
dciPOW-1QFSta_NKNB0001,DIYADUANLUQI1QFYUNXINGZHUANGTAI,dciPOW-1QFSta,dciPOW-1QFSta
dciPOW-2QFSta_NKNB0001,DIYADUANLUQI2QFYUNXINGZHUANGTAI,dciPOW-2QFSta,dciPOW-2QFSta
dciPOW-RemLcCtrl_NKNB0001,YUANFANGKONGZHIFANGSHI,dciPOW-RemLcCtrl,dciPOW-RemLcCtrl
dciPOW-LocUrgStp_NKNB0001,JIUDIJINJITINGJI,dciPOW-LocUrgStp,dciPOW-LocUrgStp
dciPOW-CovFlt1_NKNB0001,1BIANLIUQIGUZHANG,dciPOW-CovFlt1,dciPOW-CovFlt1
dciPOW-CovOvrT1_NKNB0001,1BIANLIUQICHAOWENBAOJING,dciPOW-CovOvrT1,dciPOW-CovOvrT1
dciPOW-CovTmpOv1_NKNB0001,1BIANLIUQIGAOWENTINGJI,dciPOW-CovTmpOv1,dciPOW-CovTmpOv1
dciPOW-CovFlt2_NKNB0001,2BIANLIUQIGUZHANG,dciPOW-CovFlt2,dciPOW-CovFlt2
dciPOW-CovOvrT2_NKNB0001,2BIANLIUQICHAOWENBAOJING,dciPOW-CovOvrT2,dciPOW-CovOvrT2
dciPOW-CovTmpOv2_NKNB0001,2BIANLIUQIGAOWENTINGJI,dciPOW-CovTmpOv2,dciPOW-CovTmpOv2
dciPOW-Reserve15_NKNB0001,reserve,dciPOW-Reserve15,dciPOW-Reserve15
dciPOW-VoltrOvr_NKNB0001,10KVMUXIANGUOYA,dciPOW-VoltrOvr,dciPOW-VoltrOvr
dciPOW-CurOvr_NKNB0001,10KVMUXIANQIANYA,dciPOW-CurOvr,dciPOW-CurOvr
dciPOW-CovDoor_NKNB0001,BIANLIUGUIMENXINHAO,dciPOW-CovDoor,dciPOW-CovDoor
dciPOW-TranTmp_NKNB0001,BIANYAQIGAOWENBAOJING,dciPOW-TranTmp,dciPOW-TranTmp
dciPOW-TranTmpOv_NKNB0001,BIANYAQICHAOWENTIAOZHA,dciPOW-TranTmpOv,dciPOW-TranTmpOv
dciPOW-TranDoor_NKNB0001,BIANYAQIGUIMENXINHAO,dciPOW-TranDoor,dciPOW-TranDoor
dciPOW-Reserve16_NKNB0001,reserve,dciPOW-Reserve16,dciPOW-Reserve16
dciPOW-80Sta_NKNB0001,80ZHUANGTAIYICHANG,dciPOW-80Sta,dciPOW-80Sta
dciPOW-Reserve14_NKNB0001,reserve,dciPOW-Reserve14,dciPOW-Reserve14
dciPOW-1QFPos_NKNB0001,DIYADUANLUQI1QFFENHEZHUANGTAI,dciPOW-1QFPos,dciPOW-1QFPos
dciPOW-1QFOpnlF_NKNB0001,DIYADUANLUQI1QFFENZHASHIBAI,dciPOW-1QFOpnlF,dciPOW-1QFOpnlF
dciPOW-1QFClolF_NKNB0001,DIYADUANLUQI1QFHEZHASHIBAI,dciPOW-1QFClolF,dciPOW-1QFClolF
dciPOW-1QFJmp_NKNB0001,DIYADUANLUQI1QFGUZHANGTIAOZHA,dciPOW-1QFJmp,dciPOW-1QFJmp
dciPOW-2QFPos_NKNB0001,DIYADUANLUQI2QFFENHEZHUANGTAI,dciPOW-2QFPos,dciPOW-2QFPos
dciPOW-2QFOpnlF_NKNB0001,DIYADUANLUQI2QFFENZHASHIBAI,dciPOW-2QFOpnlF,dciPOW-2QFOpnlF
dciPOW-2QFClolF_NKNB0001,DIYADUANLUQI2QFHEZHASHIBAI,dciPOW-2QFClolF,dciPOW-2QFClolF
dciPOW-2QFJmp_NKNB0001,DIYADUANLUQI2QFGUZHANGTIAOZHA,dciPOW-2QFJmp,dciPOW-2QFJmp
dciPOW-80Pos_NKNB0001,80FENHEZHUANGTAI,dciPOW-80Pos,dciPOW-80Pos
dciPOW-80OpnlF_NKNB0001,80HEZHASHIBAI,dciPOW-80OpnlF,dciPOW-80OpnlF
dciPOW-80ClolF_NKNB0001,80FENZHASHIBAI,dciPOW-80ClolF,dciPOW-80ClolF
dciPOW-Reserve17_NKNB0001,reserve,dciPOW-Reserve17,dciPOW-Reserve17
dciPOW-Reserve18_NKNB0001,reserve,dciPOW-Reserve18,dciPOW-Reserve18
dciPOW-Reserve9_NKNB0001,reserve,dciPOW-Reserve9,dciPOW-Reserve9
dciPOW-Reserve10_NKNB0001,reserve,dciPOW-Reserve10,dciPOW-Reserve10
dciPOW-Reserve11_NKNB0001,reserve,dciPOW-Reserve11,dciPOW-Reserve11
dciPOW-Reserve12_NKNB0001,reserve,dciPOW-Reserve12,dciPOW-Reserve12
dciPOW-CtrlScrn_NKNB0001,Control Screen,dciPOW-CtrlScrn,dciPOW-CtrlScrn
dciPOW-Maintain_NKNB0001,Maintain,dciPOW-Maintain,dciPOW-Maintain
dciPOW-Forbid_NKNB0001,Forbid,dciPOW-Forbid,dciPOW-Forbid
dciPOW-Ground_NKNB0001,Ground,dciPOW-Ground,dciPOW-Ground
dciPOW-PowIscs_NKNB0001,PSCADA to ISCS,dciPOW-PowIscs,dciPOW-PowIscs
dciPOW-RightPos_NKNB0001,Right Pos,dciPOW-RightPos,dciPOW-RightPos
dciPOW-ComSta_NKNB0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-DrwPos_ZSKX0001,SHOUCHEWEIZHI,dciPOW-DrwPos,dciPOW-DrwPos
dciPOW-DrwIsoPos_ZSKX0001,SHOUCHEGELIWEIZHI,dciPOW-DrwIsoPos,dciPOW-DrwIsoPos
dciPOW-DrwPosFlt_ZSKX0001,SHOUCHEWEIZHIGUZHANG,dciPOW-DrwPosFlt,dciPOW-DrwPosFlt
dciPOW-SwtPosOpn_ZSKX0001,DUANLUQIWEIZHI,dciPOW-SwtPosOpn,dciPOW-SwtPosOpn
dciPOW-CBPosFlt_ZSKX0001,DUANLUQIWEIZHIGUZHANG,dciPOW-CBPosFlt,dciPOW-CBPosFlt
dciPOW-FDCtrl_ZSKX0001,KONGZHIFANGSHI,dciPOW-FDCtrl,dciPOW-FDCtrl
dciPOW-BrkLock_ZSKX0001,DUANLUQIHEZHABISUO,dciPOW-BrkLock,dciPOW-BrkLock
dciPOW-AlmSig_ZSKX0001,BAOJINGZONGXINHAO,dciPOW-AlmSig,dciPOW-AlmSig
dciPOW-NotClo_ZSKX0001,HEZHAJINZHIXINHAO,dciPOW-NotClo,dciPOW-NotClo
dciPOW-JmpSig1_ZSKX0001,TIAOZHAZONGXINHAO,dciPOW-JmpSig1,dciPOW-JmpSig1
dciPOW-LocOpn_ZSKX0001,BENDIJINJIFENZHA,dciPOW-LocOpn,dciPOW-LocOpn
dciPOW-CoilPowF_ZSKX0001,XIANQUANDIANYUANGUZHANG,dciPOW-CoilPowF,dciPOW-CoilPowF
dciPOW-Recls_ZSKX0001,ZHONGHEZHABUCHENGGONG,dciPOW-Recls,dciPOW-Recls
dciPOW-BrkTrip_ZSKX0001,NENGKUIXITONGLIANTIAOXINHAOSHURU,dciPOW-BrkTrip,dciPOW-BrkTrip
dciPOW-JmpLok_ZSKX0001,WAIBUTIAOZHABINGBISUO,dciPOW-JmpLok,dciPOW-JmpLok
dciPOW-DeltaI_ZSKX0001,DDLDELTAIDONGZUO,dciPOW-DeltaI,dciPOW-DeltaI
dciPOW-DeltaT_ZSKX0001,DDLDELTATDONGZUO,dciPOW-DeltaT,dciPOW-DeltaT
dciPOW-ImaxP_ZSKX0001,IMAXDONGZUO1,dciPOW-ImaxP,dciPOW-ImaxP
dciPOW-ImaxPP_ZSKX0001,IMAXDONGZUO2,dciPOW-ImaxPP,dciPOW-ImaxPP
dciPOW-ImaxRev_ZSKX0001,IMAXDONGZUO3,dciPOW-ImaxRev,dciPOW-ImaxRev
dciPOW-ThmPrtAlm_ZSKX0001,REBAOHUBAOJING,dciPOW-ThmPrtAlm,dciPOW-ThmPrtAlm
dciPOW-ThmPrtTrp_ZSKX0001,REBAOHUTIAOZHA,dciPOW-ThmPrtTrp,dciPOW-ThmPrtTrp
dciPOW-LowVolt1_ZSKX0001,DIDIANYADONGZUO,dciPOW-LowVolt1,dciPOW-LowVolt1
dciPOW-LCurTrp_ZSKX0001,DADIANLIUTUOKOUDONGZUO,dciPOW-LCurTrp,dciPOW-LCurTrp
dciPOW-SndTrp_ZSKX0001,LIANTIAOSHUCHUXINHAO,dciPOW-SndTrp,dciPOW-SndTrp
dciPOW-DrwUnlok_ZSKX0001,SHOUCHEJIESUO,dciPOW-DrwUnlok,dciPOW-DrwUnlok
dciPOW-NKSOpn_ZSKX0001,DUANLUQIFENZHANKS,dciPOW-NKSOpn,dciPOW-NKSOpn
dciPOW-NKSClo_ZSKX0001,DUANLUQIHEZHANKS,dciPOW-NKSClo,dciPOW-NKSClo
dciPOW-CtrlScrn_ZSKX0001,Control Screen,dciPOW-CtrlScrn,dciPOW-CtrlScrn
dciPOW-Maintain_ZSKX0001,Maintain,dciPOW-Maintain,dciPOW-Maintain
dciPOW-Forbid_ZSKX0001,Forbid,dciPOW-Forbid,dciPOW-Forbid
dciPOW-Ground_ZSKX0001,Ground,dciPOW-Ground,dciPOW-Ground
dciPOW-PowIscs_ZSKX0001,PSCADA to ISCS,dciPOW-PowIscs,dciPOW-PowIscs
dciPOW-RightPos_ZSKX0001,Right Pos,dciPOW-RightPos,dciPOW-RightPos
dciPOW-ComSta_ZSKX0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-DSIsoPos_NLDG0001,DS85DIANGEWEIZHI,dciPOW-DSIsoPos,dciPOW-DSIsoPos
dciPOW-MPowFlt_NLDG0001,DS85MADADIANYUANGUZHANG,dciPOW-MPowFlt,dciPOW-MPowFlt
dciPOW-DSOper_NLDG0001,DS85CAOZUOYUNXU,dciPOW-DSOper,dciPOW-DSOper
dciPOW-DSCtrl_NLDG0001,KONGZHIFANGSHI,dciPOW-DSCtrl,dciPOW-DSCtrl
dciPOW-CtrlScrn_NLDG0001,Control Screen,dciPOW-CtrlScrn,dciPOW-CtrlScrn
dciPOW-Maintain_NLDG0001,Maintain,dciPOW-Maintain,dciPOW-Maintain
dciPOW-Forbid_NLDG0001,Forbid,dciPOW-Forbid,dciPOW-Forbid
dciPOW-Ground_NLDG0001,Ground,dciPOW-Ground,dciPOW-Ground
dciPOW-PowIscs_NLDG0001,PSCADA to ISCS,dciPOW-PowIscs,dciPOW-PowIscs
dciPOW-RightPos_NLDG0001,Right Pos,dciPOW-RightPos,dciPOW-RightPos
dciPOW-ComSta_NLDG0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-BrkVAlmR1_NKFJ0001,NENGKUIXITONGDIANYABAOJINGJIECHUIDUAN,dciPOW-BrkVAlmR1,dciPOW-BrkVAlmR1
dciPOW-BrkVAlmR2_NKFJ0001,NENGKUIXITONGDIANYABAOJINGJIECHUIIDUAN,dciPOW-BrkVAlmR2,dciPOW-BrkVAlmR2
dciPOW-BrkVAlm1_NKFJ0001,NENGKUIXITONGDIANYABAOHUBAOJINGIDUAN,dciPOW-BrkVAlm1,dciPOW-BrkVAlm1
dciPOW-BrkVAlm2_NKFJ0001,NENGKUIXITONGDIANYABAOHUBAOJINGIIDUAN,dciPOW-BrkVAlm2,dciPOW-BrkVAlm2
dciPOW-BrkFrmCurP_NKFJ0001,NENGKUIKUANGJIABAOHUDIANLIUDONGZUO,dciPOW-BrkFrmCurP,dciPOW-BrkFrmCurP
dciPOW-MeltFlt_NKFJ0001,FUDIDIANYACELIANGRONGDUANQIGUZHANG,dciPOW-MeltFlt,dciPOW-MeltFlt
dciPOW-PLCClo_NKFJ0001,PLCGUANBI,dciPOW-PLCClo,dciPOW-PLCClo
dciPOW-NegCtrl2_NKFJ0001,KONGZHIFANGSHI,dciPOW-NegCtrl2,dciPOW-NegCtrl2
dciPOW-FltSig_NKFJ0001,GUZHANGZONGXINHAO,dciPOW-FltSig,dciPOW-FltSig
dciPOW-ComSta_NKFJ0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-Reserve13_NKWQ0001,reserve,dciPOW-Reserve13,dciPOW-Reserve13
dciPOW-OvrTrpSig_NKWQ0001,CHAOWENTIAOZHAXINHAO,dciPOW-OvrTrpSig,dciPOW-OvrTrpSig
dciPOW-OvrAlmSig_NKWQ0001,GUOWENBAOJINGXINHAO,dciPOW-OvrAlmSig,dciPOW-OvrAlmSig
dciPOW-FltAlmSig_NKWQ0001,GUZHANGBAOJINGXINHAO,dciPOW-FltAlmSig,dciPOW-FltAlmSig
dciPOW-ComSta_NKWQ0001,Rec Comm,dciPOW-ComSta,dciPOW-ComSta
dciPOW-MeterComm_DDB_0007,Rec Comm,dciPOW-MeterComm,dciPOW-MeterComm
dciPOW-SelCBOpn_HVNK0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_HVNK0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
dciPOW-SelCBOpn_NKNB0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_NKNB0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
dciPOW-SelCBOpn_ZSKX0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_ZSKX0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
dciPOW-SelCBOpn_NLDG0001,Opn Select Control,dciPOW-SelCBOpn,dciPOW-SelCBOpn
dciPOW-SelCBClo_NLDG0001,Clo Select Control,dciPOW-SelCBClo,dciPOW-SelCBClo
