dfoPOW-Itrip1_HVNK0001,dfo
dfoPOW-CurProt1_HVNK0001,dfo
dfoPOW-IoProtI1_HVNK0001,dfo
dfoPOW-Ovrload1_HVNK0001,dfo
dfoPOW-TripCurC_HVNK0001,dfo
dfoPOW-SwtPosOpn_HVNK0001,dfo
dfoPOW-DrwPos_HVNK0001,dfo
dfoPOW-GCBSta_HVNK0001,dfo
dfoPOW-RBECtrl_HVNK0001,dfo
dfoPOW-SwtSprg1_HVNK0001,dfo
dfoPOW-MCBJmpAla_HVNK0001,dfo
dfoPOW-NkbOvrTTrip_HVNK0001,dfo
dfoPOW-Nkbdoor_HVNK0001,dfo
dfoPOW-CSwtOpn_HVNK0001,dfo
dfoPOW-K80Trp_HVNK0001,dfo
dfoPOW-K80door_HVNK0001,dfo
dfoPOW-BraFrm_HVNK0001,dfo
dfoPOW-DCFrm_HVNK0001,dfo
dfoPOW-OverCurTrp_HVNK0001,dfo
dfoPOW-CtrlScrn_HVNK0001,dfo
dfoPOW-Maintain_HVNK0001,dfo
dfoPOW-Forbid_HVNK0001,dfo
dfoPOW-Ground_HVNK0001,dfo
dfoPOW-PowIscs_HVNK0001,dfo
dfoPOW-RightPos_HVNK0001,dfo
dfoPOW-ComSta_HVNK0001,dfo
dfoPOW-EquSta1_NKNB0001,dfo
dfoPOW-EquSta2_NKNB0001,dfo
dfoPOW-EquSta3_NKNB0001,dfo
dfoPOW-1QFSta_NKNB0001,dfo
dfoPOW-2QFSta_NKNB0001,dfo
dfoPOW-RemLcCtrl_NKNB0001,dfo
dfoPOW-LocUrgStp_NKNB0001,dfo
dfoPOW-CovFlt1_NKNB0001,dfo
dfoPOW-CovOvrT1_NKNB0001,dfo
dfoPOW-CovTmpOv1_NKNB0001,dfo
dfoPOW-CovFlt2_NKNB0001,dfo
dfoPOW-CovOvrT2_NKNB0001,dfo
dfoPOW-CovTmpOv2_NKNB0001,dfo
dfoPOW-Reserve15_NKNB0001,dfo
dfoPOW-VoltrOvr_NKNB0001,dfo
dfoPOW-CurOvr_NKNB0001,dfo
dfoPOW-CovDoor_NKNB0001,dfo
dfoPOW-TranTmp_NKNB0001,dfo
dfoPOW-TranTmpOv_NKNB0001,dfo
dfoPOW-TranDoor_NKNB0001,dfo
dfoPOW-Reserve16_NKNB0001,dfo
dfoPOW-80Sta_NKNB0001,dfo
dfoPOW-Reserve14_NKNB0001,dfo
dfoPOW-1QFPos_NKNB0001,dfo
dfoPOW-1QFOpnlF_NKNB0001,dfo
dfoPOW-1QFClolF_NKNB0001,dfo
dfoPOW-1QFJmp_NKNB0001,dfo
dfoPOW-2QFPos_NKNB0001,dfo
dfoPOW-2QFOpnlF_NKNB0001,dfo
dfoPOW-2QFClolF_NKNB0001,dfo
dfoPOW-2QFJmp_NKNB0001,dfo
dfoPOW-80Pos_NKNB0001,dfo
dfoPOW-80OpnlF_NKNB0001,dfo
dfoPOW-80ClolF_NKNB0001,dfo
dfoPOW-Reserve17_NKNB0001,dfo
dfoPOW-Reserve18_NKNB0001,dfo
dfoPOW-Reserve9_NKNB0001,dfo
dfoPOW-Reserve10_NKNB0001,dfo
dfoPOW-Reserve11_NKNB0001,dfo
dfoPOW-Reserve12_NKNB0001,dfo
dfoPOW-CtrlScrn_NKNB0001,dfo
dfoPOW-Maintain_NKNB0001,dfo
dfoPOW-Forbid_NKNB0001,dfo
dfoPOW-Ground_NKNB0001,dfo
dfoPOW-PowIscs_NKNB0001,dfo
dfoPOW-RightPos_NKNB0001,dfo
dfoPOW-ComSta_NKNB0001,dfo
dfoPOW-DrwPos_ZSKX0001,dfo
dfoPOW-DrwIsoPos_ZSKX0001,dfo
dfoPOW-DrwPosFlt_ZSKX0001,dfo
dfoPOW-SwtPosOpn_ZSKX0001,dfo
dfoPOW-CBPosFlt_ZSKX0001,dfo
dfoPOW-FDCtrl_ZSKX0001,dfo
dfoPOW-BrkLock_ZSKX0001,dfo
dfoPOW-AlmSig_ZSKX0001,dfo
dfoPOW-NotClo_ZSKX0001,dfo
dfoPOW-JmpSig1_ZSKX0001,dfo
dfoPOW-LocOpn_ZSKX0001,dfo
dfoPOW-CoilPowF_ZSKX0001,dfo
dfoPOW-Recls_ZSKX0001,dfo
dfoPOW-BrkTrip_ZSKX0001,dfo
dfoPOW-JmpLok_ZSKX0001,dfo
dfoPOW-DeltaI_ZSKX0001,dfo
dfoPOW-DeltaT_ZSKX0001,dfo
dfoPOW-ImaxP_ZSKX0001,dfo
dfoPOW-ImaxPP_ZSKX0001,dfo
dfoPOW-ImaxRev_ZSKX0001,dfo
dfoPOW-ThmPrtAlm_ZSKX0001,dfo
dfoPOW-ThmPrtTrp_ZSKX0001,dfo
dfoPOW-LowVolt1_ZSKX0001,dfo
dfoPOW-LCurTrp_ZSKX0001,dfo
dfoPOW-SndTrp_ZSKX0001,dfo
dfoPOW-DrwUnlok_ZSKX0001,dfo
dfoPOW-NKSOpn_ZSKX0001,dfo
dfoPOW-NKSClo_ZSKX0001,dfo
dfoPOW-CtrlScrn_ZSKX0001,dfo
dfoPOW-Maintain_ZSKX0001,dfo
dfoPOW-Forbid_ZSKX0001,dfo
dfoPOW-Ground_ZSKX0001,dfo
dfoPOW-PowIscs_ZSKX0001,dfo
dfoPOW-RightPos_ZSKX0001,dfo
dfoPOW-ComSta_ZSKX0001,dfo
dfoPOW-DSIsoPos_NLDG0001,dfo
dfoPOW-MPowFlt_NLDG0001,dfo
dfoPOW-DSOper_NLDG0001,dfo
dfoPOW-DSCtrl_NLDG0001,dfo
dfoPOW-CtrlScrn_NLDG0001,dfo
dfoPOW-Maintain_NLDG0001,dfo
dfoPOW-Forbid_NLDG0001,dfo
dfoPOW-Ground_NLDG0001,dfo
dfoPOW-PowIscs_NLDG0001,dfo
dfoPOW-RightPos_NLDG0001,dfo
dfoPOW-ComSta_NLDG0001,dfo
dfoPOW-BrkVAlmR1_NKFJ0001,dfo
dfoPOW-BrkVAlmR2_NKFJ0001,dfo
dfoPOW-BrkVAlm1_NKFJ0001,dfo
dfoPOW-BrkVAlm2_NKFJ0001,dfo
dfoPOW-BrkFrmCurP_NKFJ0001,dfo
dfoPOW-MeltFlt_NKFJ0001,dfo
dfoPOW-PLCClo_NKFJ0001,dfo
dfoPOW-NegCtrl2_NKFJ0001,dfo
dfoPOW-FltSig_NKFJ0001,dfo
dfoPOW-ComSta_NKFJ0001,dfo
dfoPOW-Reserve13_NKWQ0001,dfo
dfoPOW-OvrTrpSig_NKWQ0001,dfo
dfoPOW-OvrAlmSig_NKWQ0001,dfo
dfoPOW-FltAlmSig_NKWQ0001,dfo
dfoPOW-ComSta_NKWQ0001,dfo
dfoPOW-MeterComm_DDB_0007,dfo
dfoPOW-SelCBOpn_HVNK0001,dfo
dfoPOW-SelCBClo_HVNK0001,dfo
dfoPOW-SelCBOpn_NKNB0001,dfo
dfoPOW-SelCBClo_NKNB0001,dfo
dfoPOW-SelCBOpn_ZSKX0001,dfo
dfoPOW-SelCBClo_ZSKX0001,dfo
dfoPOW-SelCBOpn_NLDG0001,dfo
dfoPOW-SelCBClo_NLDG0001,dfo
